Title;Year;Rotten Tomatoes;Hulu
The Great British Bake Off;2010;70;Não tem
Wizards: Tales of Arcadia;2020;70;Não tem
Conversations with a Killer: The Ted Bundy Tapes;2019;70;Não tem
Fate: The Winx Saga;2021;70;Não tem
The Circle;2020;70;Não tem
Cheer;2020;70;Não tem
Hemlock Grove;2013;70;Não tem
Transformers: War for Cybertron: Siege;2020;70;Não tem
Explained;2018;70;Não tem
Messiah;2020;70;Não tem
Sky Rojo;2021;70;Não tem
Bonding;2019;70;Não tem
I'm Sorry;2017;70;Não tem
Katla;2021;70;Não tem
It's Okay to Not Be Okay;2020;70;Não tem
Forensic Files;1996;70;Tem
Workin' Moms;2017;70;Não tem
The Toys That Made Us;2017;70;Não tem
The Devil Next Door;2019;70;Não tem
Kipo and the Age of Wonderbeasts;2020;70;Não tem
Roswell, New Mexico;2019;70;Não tem
Night Stalker: The Hunt For a Serial Killer;2021;70;Não tem
Glitch;2015;70;Não tem
Great Pretender;2020;69;Não tem
InuYasha;2000;69;Tem
In the Dark;2019;69;Não tem
GHOUL;2018;69;Não tem
Nailed It!;2018;69;Não tem
Voltron: Legendary Defender;2016;69;Não tem
Trollhunters: Tales of Arcadia;2016;69;Não tem
Sweet Magnolias;2020;69;Não tem
Medici: Masters of Florence;2016;69;Não tem
Aggretsuko;2018;69;Não tem
Jurassic World: Camp Cretaceous;2020;69;Não tem
Rake;2010;69;Tem
The Gift;2019;69;Tem
Violet Evergarden;2018;69;Não tem
3Below: Tales of Arcadia;2018;69;Não tem
Jeffrey Epstein: Filthy Rich;2020;69;Não tem
Dawson's Creek;1998;69;Tem
Private Practice;2007;69;Tem
Beauty and the Beast;2012;69;Não tem
Daybreak;2019;69;Não tem
Easy;2016;69;Não tem
Behind Her Eyes;2021;68;Não tem
Collateral;2018;68;Não tem
Knightfall;2017;68;Não tem
The Confession Killer;2019;68;Não tem
Sophie: A Murder In West Cork;2021;68;Não tem
Call My Agent!;2015;68;Não tem
