Title;Year;Rotten Tomatoes;Hulu
Wilfred;2011;74;Tem
Deutschland;2015;74;Tem
Empire;2015;74;Tem
Brockmire;2017;74;Tem
The Unit;2006;74;Tem
Genius;2017;74;Tem
Mayans M.C.;2018;74;Tem
black-ish;2014;74;Tem
CSI: Crime Scene Investigation;2000;74;Tem
Tokyo Ghoul;2014;74;Tem
MythBusters;2003;74;Tem
Don't Trust the B---- in Apartment 23;2012;74;Tem
Sailor Moon;1992;74;Tem
One Tree Hill;2003;74;Tem
Nip/Tuck;2003;74;Tem
Looking for Alaska;2019;74;Tem
New Amsterdam;2018;74;Tem
The Golden Girls;1985;74;Tem
Cougar Town;2009;73;Tem
The Purge;2018;73;Tem
Catch-22;2019;73;Tem
The Rookie;2018;73;Tem
Married... with Children;1987;73;Tem
The Looming Tower;2018;73;Tem
Blindspot;2015;73;Tem
Steven Universe;2013;73;Tem
Nashville;2012;73;Tem
Salem;2014;73;Tem
The Mindy Project;2012;73;Tem
Mrs. America;2020;73;Tem
The Middle;2009;73;Tem
Roseanne;1988;73;Tem
Black Clover;2017;73;Tem
Witches of East End;2013;73;Tem
Whitechapel;2009;73;Tem
Stumptown;2019;73;Tem
I Love Lucy;1951;72;Tem
Harlots;2017;72;Tem
UnREAL;2015;72;Tem
The Wonder Years;1988;72;Tem
Graceland;2013;72;Tem
Anthony Bourdain: No Reservations;2005;72;Tem
Ugly Betty;2006;72;Tem
Marvel's Cloak & Dagger;2018;72;Tem
The Bold Type;2017;72;Tem
The Resident;2018;72;Tem
Dragon Ball;1996;72;Tem
The Goldbergs;2013;72;Tem
Terriers;2010;72;Tem
American Horror Stories;2021;72;Tem
ER;1994;72;Tem
Fairy Tail;2009;72;Tem
Bunheads;2012;72;Tem
High Fidelity;2020;72;Tem
Horace and Pete;2016;72;Tem
The Amazing World of Gumball;2011;71;Tem
Blackadder;1983;71;Tem
Hell's Kitchen;2005;71;Tem
Robot Chicken;2005;71;Tem
People of Earth;2016;71;Tem
Boruto: Naruto Next Generations;2017;71;Tem
The Musketeers;2014;71;Tem
Sesame Street;1969;71;Tem
Shrill;2019;71;Tem
LEGO Masters;2020;71;Tem
Good Behavior;2016;71;Tem
Murdoch Mysteries;2008;71;Tem
Full House;1987;71;Tem
Mom;2013;71;Tem
Will & Grace;1998;71;Tem
King of the Hill;1997;71;Tem
Doc Martin;2004;71;Tem
Impractical Jokers;2011;71;Tem
Debris;2021;71;Tem
Solar Opposites;2020;70;Tem
Trust;2018;70;Tem
SIX;2017;70;Tem
Last Man Standing;2011;70;Tem
Body of Proof;2011;70;Tem
The Hitchhiker's Guide to the Galaxy;1981;70;Tem
Afro Samurai;2007;70;Tem
S.W.A.T.;2017;70;Tem
A Million Little Things;2018;70;Tem
For Life;2020;70;Tem
Battlestar Galactica;1978;70;Tem
Alfred Hitchcock Presents;1955;70;Tem
Flashpoint;2008;70;Tem
The Detour;2016;70;Tem
Greek;2007;70;Tem
Casual;2015;70;Tem
Mary Kills People;2017;70;Tem
Mushi-Shi;2005;70;Tem
Baskets;2016;70;Tem
Touch;2012;70;Tem
Rurouni Kenshin;1996;70;Tem
Big Sky;2020;70;Tem
The Wrong Mans;2013;70;Tem
Chance;2016;69;Tem
The Split;2018;69;Tem
Make It or Break It;2009;69;Tem
Das Boot;2018;69;Tem
Legit;2013;69;Tem
Breeders;2020;69;Tem
Queen Sugar;2016;69;Tem
Drake & Josh;2004;69;Tem
MasterChef;2010;69;Tem
Young Rock;2021;69;Tem
The Eric Andre Show;2012;69;Tem
Animaniacs;1993;69;Tem
Man Seeking Woman;2015;69;Tem
Pretty Little Liars: The Perfectionists;2019;69;Tem
Yu Yu Hakusho;1992;69;Tem
Lodge 49;2018;69;Tem
I Am the Night;2019;69;Tem
Hey Arnold!;1996;69;Tem
NOS4A2;2019;69;Tem
The Glades;2010;69;Tem
The Bridge;2013;69;Tem
Underground;2016;69;Tem
A Teacher;2020;69;Tem
Danny Phantom;2004;69;Tem
Sliders;1995;69;Tem
30 for 30;2009;69;Tem
Life in Pieces;2015;69;Tem
The Amazing Race;2001;68;Tem
Pitch;2016;68;Tem
Numb3rs;2005;68;Tem
Roswell;1999;68;Tem
Tyrant;2014;68;Tem
Legends;2014;68;Tem
Angie Tribeca;2016;68;Tem
FLCL;2000;68;Tem
Rugrats;1991;68;Tem
Fosse/Verdon;2019;68;Tem
Assassination Classroom;2015;68;Tem
Top Chef;2006;68;Tem
Ghost Whisperer;2005;68;Tem
Darker than Black;2007;68;Tem
Kaguya-sama: Love is War;2019;68;Tem
Ally McBeal;1997;68;Tem
Everything's Gonna Be Okay;2020;68;Tem
Psycho-Pass;2012;68;Tem
The Powerpuff Girls;1998;68;Tem
Beverly Hills, 90210;1990;68;Tem
Friday Night Dinner;2011;68;Tem
Wu-Tang: An American Saga;2019;68;Tem
Hellsing Ultimate;2006;68;Tem
Claws;2017;68;Tem
Marvel's M.O.D.O.K.;2021;68;Tem
Shark Tank;2009;68;Tem
Ghost Adventures;2008;67;Tem
Miranda;2009;67;Tem
Making It;2018;67;Tem
The Son;2017;67;Tem
10 Things I Hate About You;2009;67;Tem
Good Trouble;2019;67;Tem
Ben 10;2005;67;Tem
The Mick;2017;67;Tem
WWE Raw;1993;67;Tem
Party of Five;1994;67;Tem
Overlord;2015;67;Tem
The Path;2016;67;Tem
Descendants of the Sun;2016;67;Tem
Single Parents;2018;67;Tem
Deadliest Catch;2005;67;Tem
Gangland Undercover;2015;67;Tem
ThunderCats;1985;67;Tem
Shiki;2010;67;Tem
Rascal Does Not Dream of Bunny Girl Senpai;2018;67;Tem
Jane Eyre;2006;67;Tem
Kitchen Nightmares;2007;67;Tem
Devious Maids;2013;67;Tem
My Wife and Kids;2001;67;Tem
Star vs. the Forces of Evil;2015;67;Tem
Dark Side of the Ring;2019;67;Tem
High School DxD;2012;67;Tem
Transplant;2020;67;Tem
Apple Tree Yard;2017;67;Tem
9-1-1: Lone Star;2020;67;Tem
Fruits Basket;2019;66;Tem
Siren;2018;66;Tem
Holey Moley;2019;66;Tem
Diabolik Lovers;2013;66;Tem
Baby Daddy;2012;66;Tem
Digimon Adventure;1999;66;Tem
The Long Road Home;2017;66;Tem
Black Lagoon;2006;66;Tem
Taken;2017;66;Tem
Walker;2021;66;Tem
Catfish: The TV Show;2012;66;Tem
Treadstone;2019;66;Tem
The Incredible Hulk;1977;66;Tem
Sabrina, the Teenage Witch;1996;66;Tem
X-Men: Evolution;2000;66;Tem
Death Parade;2015;66;Tem
NEXT;2020;66;Tem
The Pink Panther;1964;66;Tem
Golden Time;2013;66;Tem
Dollface;2019;66;Tem
Taxi;1978;66;Tem
Being Mary Jane;2014;66;Tem
Drunk History;2013;65;Tem
Twisted;2013;65;Tem
Brothers and Sisters;2006;65;Tem
Breakout Kings;2011;65;Tem
Scott & Bailey;2011;65;Tem
Little Britain;2003;65;Tem
Law & Order: Organized Crime;2021;65;Tem
Pinky and the Brain;1995;65;Tem
Ergo Proxy;2006;65;Tem
Noragami;2014;65;Tem
Primeval;2007;65;Tem
Face Off;2011;65;Tem
Love Island;2015;65;Tem
Highlander: The Series;1992;65;Tem
Prison School;2015;65;Tem
Good Luck Charlie;2010;65;Tem
Medium;2005;65;Tem
Fire Force;2019;65;Tem
Second Chance;2016;65;Tem
American Housewife;2016;65;Tem
The First;2018;65;Tem
Reprisal;2019;65;Tem
Mushoku Tensei: Jobless Reincarnation;2021;64;Tem
The Kids Are Alright;2018;64;Tem
Remington Steele;1982;64;Tem
Saved by the Bell;1989;64;Tem
The Fades;2011;64;Tem
My Teen Romantic Comedy SNAFU;2013;64;Tem
Station 19;2018;64;Tem
New Tricks;2003;64;Tem
The Mary Tyler Moore Show;1970;64;Tem
Hill Street Blues;1981;64;Tem
Monster Musume: Everyday Life with Monster Girls;2015;64;Tem
The Conners;2018;64;Tem
NYPD Blue;1993;64;Tem
CSI: Miami;2002;64;Tem
Metalocalypse;2006;64;Tem
America's Got Talent;2006;64;Tem
Fixer Upper;2013;64;Tem
DCI Banks;2011;64;Tem
The Future Diary;2011;64;Tem
Childrens Hospital;2008;64;Tem
The First 48;2004;64;Tem
Chopped;2009;64;Tem
Sense and Sensibility;2008;64;Tem
House Hunters;1999;64;Tem
Teenage Mutant Ninja Turtles;2012;64;Tem
Monogatari;2009;64;Tem
Clique;2017;63;Tem
Atlantis;2013;63;Tem
Travel Man: 48 Hours in...;2015;63;Tem
Chowder;2007;63;Tem
The Hardy Boys;2020;63;Tem
Shots Fired;2017;63;Tem
The Familiar of Zero;2006;63;Tem
The Brady Bunch;1969;63;Tem
Four Weddings and a Funeral;2019;63;Tem
Hamilton's Pharmacopeia;2016;63;Tem
The New York Times Presents;2020;63;Tem
What's Wrong with Secretary Kim;2018;63;Tem
The Great North;2021;63;Tem
The Ultimate Fighter;2005;63;Tem
Tiny Toon Adventures;1990;63;Tem
Foster's Home for Imaginary Friends;2004;63;Tem
The Tonight Show Starring Jimmy Fallon;2014;63;Tem
Barkskins;2020;63;Tem
River Monsters;2009;63;Tem
The Dick Van Dyke Show;1961;63;Tem
Yu-Gi-Oh! GX;2004;63;Tem
Highschool of the Dead;2010;63;Tem
The Marvelous Misadventures of Flapjack;2008;63;Tem
Difficult People;2015;63;Tem
Reba;2001;63;Tem
The Event;2010;62;Tem
American Gothic;1995;62;Tem
Garfield and Friends;1988;62;Tem
Home Economics;2021;62;Tem
Clannad After Story;2009;62;Tem
Bless This Mess;2019;62;Tem
Horrible Histories;2009;62;Tem
grown-ish;2018;62;Tem
Duncanville;2020;62;Tem
The Guest Book;2017;62;Tem
Speechless;2016;62;Tem
Intervention;2005;62;Tem
K.C. Undercover;2015;62;Tem
The Three Stooges;1934;62;Tem
Dragon Ball GT;1996;62;Tem
Melissa & Joey;2010;62;Tem
The Bob Newhart Show;1972;62;Tem
General Hospital;1963;62;Tem
Lupin the Third;1971;62;Tem
Charlotte;2015;62;Tem
Mr. Mayor;2021;62;Tem
Murder in the First;2014;62;Tem
Jersey Shore: Family Vacation;2018;62;Tem
Family Matters;1989;62;Tem
24: Legacy;2017;62;Tem
American Ninja Warrior;2009;62;Tem
Seraph of the End;2015;62;Tem
Brickleberry;2012;62;Tem
Ghosted;2017;62;Tem
Saving Hope;2012;62;Tem
Married at First Sight;2014;61;Tem
The Voice;2011;61;Tem
Wings;1990;61;Tem
American Pickers;2010;61;Tem
Nightwatch;2015;61;Tem
Gold Rush;2010;61;Tem
The Riches;2007;61;Tem
Lark Rise to Candleford;2008;61;Tem
Stan Against Evil;2016;61;Tem
Homicide Hunter: Lt Joe Kenda;2011;61;Tem
RuPaul's Drag Race: Untucked;2010;61;Tem
The Carmichael Show;2015;61;Tem
Moone Boy;2012;61;Tem
Tyler Perry's The Haves and the Have Nots;2013;61;Tem
Perfect Strangers;1986;61;Tem
The Practice;1997;61;Tem
Light as a Feather;2018;61;Tem
Burden of Truth;2018;61;Tem
Mister Ed;1961;61;Tem
Kamisama Kiss;2012;61;Tem
Mike Tyson Mysteries;2014;61;Tem
American Gladiators;1988;61;Tem
My Life as a Teenage Robot;2003;60;Tem
Felicity;1998;60;Tem
Expedition Unknown;2015;60;Tem
Rosewood;2015;60;Tem
The Guardian;2001;60;Tem
Jeremiah;2002;60;Tem
The Secret of Skinwalker Ranch;2020;60;Tem
Dharma & Greg;1997;60;Tem
The Real Housewives of Beverly Hills;2010;60;Tem
The Fall Guy;1981;60;Tem
Sealab 2021;2000;60;Tem
The Incredible Dr. Pol;2011;60;Tem
Whose Line Is It Anyway? (UK);1988;60;Tem
The Fruit of Grisaia;2014;60;Tem
St. Elsewhere;1982;60;Tem
Ben 10: Omniverse;2012;60;Tem
Naked and Afraid;2013;60;Tem
Woke;2020;60;Tem
Mr. Pickles;2014;60;Tem
The Moodys;2019;60;Tem
Being Erica;2009;60;Tem
Dual Survival;2010;60;Tem
Dimension 404;2017;60;Tem
Diff'rent Strokes;1978;60;Tem
Bad Banks;2018;60;Tem
Kojak;1973;60;Tem
Robin of Sherwood;1984;60;Tem
Ranma Â½;1989;60;Tem
McLeod's Daughters;2001;60;Tem
Life Below Zero;2013;60;Tem
mixed-ish;2019;60;Tem
Mountain Men;2012;60;Tem
Baywatch;1989;60;Tem
Shut Eye;2016;59;Tem
Dietland;2018;59;Tem
Yona of the Dawn;2014;59;Tem
The Hustler;2021;59;Tem
Man v. Food;2008;59;Tem
Teen Titans Go!;2013;59;Tem
Designing Women;1986;59;Tem
Into the Dark;2018;59;Tem
Mobile Suit Gundam Wing;2000;59;Tem
Damien;2016;59;Tem
Mistresses;2013;59;Tem
The Lord of the Skies;2013;59;Tem
Snow White with the Red Hair;2015;59;Tem
The Masked Singer;2019;59;Tem
Danganronpa: The Animation;2013;59;Tem
Hellsing;2001;59;Tem
Fate/stay night;2006;59;Tem
Uncle;2014;59;Tem
Deadly Women;2005;59;Tem
Ironside;1967;59;Tem
D.Gray-man;2006;59;Tem
Space Dandy;2014;59;Tem
Songland;2019;59;Tem
Running Wild with Bear Grylls;2014;59;Tem
Living Single;1993;59;Tem
My 600-lb Life;2012;59;Tem
Naked and Afraid XL;2015;59;Tem
Popeye the Sailor;1960;59;Tem
The Thundermans;2013;59;Tem
90 Day FiancÃ©;2014;59;Tem
Duck Dynasty;2012;59;Tem
No Man's Land;2020;59;Tem
Upstairs Downstairs;2010;59;Tem
The Bastard Executioner;2015;59;Tem
The Food That Built America;2019;59;Tem
Star;2016;59;Tem
Saving Grace;2007;59;Tem
Full Metal Panic!;2002;58;Tem
America's Funniest Home Videos;1989;58;Tem
Log Horizon;2013;58;Tem
Son of Zorn;2016;58;Tem
Him & Her;2010;58;Tem
World Trigger;2014;58;Tem
Clarence;2014;58;Tem
Kenan;2021;58;Tem
Mayo Chiki!;2011;58;Tem
Haven't You Heard? I'm Sakamoto;2016;58;Tem
Hard Sun;2018;58;Tem
Dance Moms;2011;58;Tem
Gordon Ramsay's 24 Hours to Hell and Back;2018;58;Tem
X Company;2015;58;Tem
Step by Step;1991;58;Tem
Housebroken;2021;58;Tem
Jimmy Kimmel Live!;2003;58;Tem
The Cleveland Show;2009;58;Tem
Dice;2016;58;Tem
Primeval: New World;2012;58;Tem
7th Heaven;1996;58;Tem
Cutthroat Kitchen;2013;58;Tem
Married;2014;58;Tem
Land of Honor;2014;58;Tem
The UnXplained;2019;58;Tem
Deadbeat;2014;58;Tem
Alone Together;2018;58;Tem
Chivalry of a Failed Knight;2015;58;Tem
Intruders;2014;58;Tem
Kimi ni Todoke: From Me to You;2009;58;Tem
WWE Friday Night SmackDown;1999;58;Tem
Coronation Street;1960;58;Tem
Dirty Sexy Money;2007;58;Tem
Kenichi: The Mightiest Disciple;2006;58;Tem
Archangel;2005;58;Tem
Persona 4 The Animation;2011;58;Tem
Melrose Place;1992;57;Tem
SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist;2015;57;Tem
Restaurant: Impossible;2011;57;Tem
Alias Smith and Jones;1971;57;Tem
Justice League Action;2016;57;Tem
Packed to the Rafters;2008;57;Tem
Oh My Venus;2015;57;Tem
Banished;2015;57;Tem
Bizarre Foods with Andrew Zimmern;2006;57;Tem
Blood Blockade Battlefront;2015;57;Tem
Curious George;2006;57;Tem
Guilty Crown;2011;57;Tem
Outlaw Star;1998;57;Tem
The Real Housewives of New York City;2008;57;Tem
Storage Wars;2010;57;Tem
Bluff City Law;2019;57;Tem
Bad Girls Club;2006;57;Tem
McHale's Navy;1962;57;Tem
Doogie Howser, M.D.;1989;57;Tem
House Hunters International;2006;57;Tem
Shark;2006;57;Tem
Sasquatch;2021;57;Tem
The Electric Company;1971;57;Tem
Akudama Drive;2020;57;Tem
Love & Hip Hop Atlanta;2012;57;Tem
Alaska: The Last Frontier;2011;57;Tem
Sonic Boom;2014;57;Tem
Graves;2016;57;Tem
Locked Up Abroad;2008;56;Tem
School Rumble;2004;56;Tem
Princess Tutu;2002;56;Tem
Date a Live;2013;56;Tem
Devil May Cry;2007;56;Tem
MasterChef Junior;2013;56;Tem
Utopia Falls;2020;56;Tem
Fear Factor;2001;56;Tem
Hellevator;2015;56;Tem
Aesthetica of a Rogue Hero;2012;56;Tem
Drugs, Inc.;2010;56;Tem
Pure;2017;56;Tem
Dr. Pimple Popper;2018;56;Tem
The Biggest Loser;2004;56;Tem
Filthy Rich;2020;56;Tem
Grimgar of Fantasy and Ash;2016;56;Tem
Bless the Harts;2019;56;Tem
Celebrity Family Feud;2008;56;Tem
xxxHOLiC;2006;56;Tem
Paradox;2009;56;Tem
Worst Cooks in America;2010;56;Tem
Keeping Up with the Kardashians;2007;56;Tem
Blossom;1990;56;Tem
Taste the Nation with Padma Lakshmi;2020;56;Tem
Digimon Tamers;2001;56;Tem
BOFURI: I Donâ€™t Want to Get Hurt, so Iâ€™ll Max Out My Defense.;2020;56;Tem
Cake Boss;2009;56;Tem
Tyler Perry's If Loving You Is Wrong;2014;56;Tem
Plastic Memories;2015;56;Tem
Love It or List It;2008;56;Tem
Dragnet;1967;56;Tem
Say "I Love You.";2012;56;Tem
Rev.;2010;56;Tem
Axe Cop;2013;56;Tem
The Secret Life of the American Teenager;2008;55;Tem
Extreme Ghostbusters;1997;55;Tem
OK K.O.! Let's Be Heroes;2017;55;Tem
é ­æ–‡å­—D First Stage;1998;55;Tem
The Firm;2012;55;Tem
The Titan Games;2019;55;Tem
Attack on Titan: Junior High;2015;55;Tem
To Love-Ru;2008;55;Tem
Rosario + Vampire;2008;55;Tem
All Saints;1998;55;Tem
Fast N' Loud;2012;55;Tem
Upper Middle Bogan;2013;55;Tem
Toilet-Bound Hanako-kun;2020;55;Tem
Barbarians Rising;2016;55;Tem
Silk Stalkings;1991;55;Tem
Match Game;1973;55;Tem
The Most Dangerous Animal of All;2020;55;Tem
Arifureta: From Commonplace to World's Strongest;2019;55;Tem
Renegade;1992;55;Tem
Disappeared;2009;55;Tem
My Favorite Martian;1963;55;Tem
Wise Manâ€™s Grandchild;2019;55;Tem
The Slap;2015;55;Tem
90 Day FiancÃ©: Before the 90 Days;2017;55;Tem
Love Thy Neighbor;2013;55;Tem
Infinite Stratos;2011;55;Tem
A Certain Scientific Railgun;2009;55;Tem
Taggart;1983;55;Tem
Call Me Kat;2021;55;Tem
My Love Story!!;2015;55;Tem
Digimon Adventure:;2020;55;Tem
City Homicide;2007;55;Tem
Spartan: Ultimate Team Challenge;2016;38;Tem
