Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
Japan Sinks: 2020;2020;18+;6,4;56;Tem;Não tem;Não tem;Não tem
Girlfriends;2000;7+;7,2;56;Tem;Não tem;Não tem;Não tem
Mobile Suit Gundam: Iron-Blooded Orphans;2015;18+;7,9;56;Tem;Não tem;Não tem;Não tem
Curon;2020;18+;5,8;56;Tem;Não tem;Não tem;Não tem
The Method;2015;18+;7,4;56;Tem;Não tem;Não tem;Não tem
Amend: The Fight for America;2021;18+;7,9;56;Tem;Não tem;Não tem;Não tem
The Crew;2021;16+;6,6;56;Tem;Não tem;Não tem;Não tem
Sex Explained;2020;18+;6,9;56;Tem;Não tem;Não tem;Não tem
Unauthorized Living;2018;18+;7,5;56;Tem;Não tem;Não tem;Não tem
James Acaster: Repertoire;2018;18+;8,5;56;Tem;Não tem;Não tem;Não tem
Blood & Water;2020;18+;6,4;56;Tem;Não tem;Não tem;Não tem
Adventures of Sonic the Hedgehog;1993;7+;6,2;55;Tem;Não tem;Não tem;Não tem
Rust Valley Restorers;2018;16+;7,8;55;Tem;Não tem;Não tem;Não tem
Immortals;2018;7+;5,3;55;Tem;Não tem;Não tem;Não tem
Cheese in the Trap;2016;16+;7,4;55;Tem;Não tem;Não tem;Não tem
Terrace House: Boys & Girls in the City;2015;7+;8,1;55;Tem;Não tem;Não tem;Não tem
My Secret Romance;2017;16+;7,1;55;Tem;Não tem;Não tem;Não tem
Marlon;2017;7+;7,1;55;Tem;Tem;Não tem;Não tem
The Bonfire of Destiny;2019;16+;7,7;55;Tem;Não tem;Não tem;Não tem
100 Days My Prince;2018;16+;7,7;55;Tem;Não tem;Não tem;Não tem
Let's Eat;2013;16+;7,7;55;Tem;Não tem;Não tem;Não tem
Kung Fu Panda: Legends of Awesomeness;2011;7+;6,8;55;Tem;Não tem;Não tem;Não tem
PJ Masks;2015;0;5,5;55;Tem;Não tem;Não tem;Tem
Incomplete Life;2014;16+;8,6;55;Tem;Não tem;Não tem;Não tem
When Heroes Fly;2018;7+;7,2;55;Tem;Não tem;Não tem;Não tem
The Last O.G.;2018;7+;6,9;55;Tem;Não tem;Não tem;Não tem
DC Super Hero Girls;2019;7+;7,1;55;Tem;Não tem;Não tem;Não tem
Wheel of Fortune;1983;0;6,7;55;Tem;Não tem;Não tem;Não tem
Chelsea Does;2016;18+;7,2;55;Tem;Não tem;Não tem;Não tem
Girlfriends' Guide to Divorce;2014;16+;6,9;55;Tem;Não tem;Não tem;Não tem
Daniel Sloss: Live Shows;2018;18+;8,6;55;Tem;Não tem;Não tem;Não tem
Case;2015;16+;7,1;55;Tem;Não tem;Não tem;Não tem
Always a Witch;2019;16+;6,2;55;Tem;Não tem;Não tem;Não tem
The Boulet Brothers' Dragula;2016;18+;7,9;55;Tem;Não tem;Não tem;Não tem
Lovestruck in the City;2020;16+;7,8;55;Tem;Não tem;Não tem;Não tem
Bitter Daisies;2018;18+;7,2;55;Tem;Não tem;Não tem;Não tem
Selection Day;2018;16+;7,4;55;Tem;Não tem;Não tem;Não tem
Bring It On, Ghost;2016;16+;7,6;55;Tem;Não tem;Não tem;Não tem
(The Hook Up Plan);2018;16+;7,2;55;Tem;Não tem;Não tem;Não tem
Because This Is My First Life;2017;16+;8,1;55;Tem;Não tem;Não tem;Não tem
Medal of Honor;2018;16+;8,4;55;Tem;Não tem;Tem;Não tem
Coronavirus, Explained;2020;7+;7,6;55;Tem;Não tem;Não tem;Não tem
Teen Mom 2;2011;7+;4,3;55;Tem;Não tem;Tem;Não tem
Kantaro: The Sweet Tooth Salaryman;2017;7+;7,5;55;Tem;Não tem;Não tem;Não tem
Al Hayba;2017;7+;7,4;55;Tem;Não tem;Não tem;Não tem
Somewhere Between;2017;16+;6,3;55;Tem;Não tem;Não tem;Não tem
Selling Sunset;2019;18+;6,3;55;Tem;Não tem;Não tem;Não tem
Trailer Park Boys: The Animated Series;2019;18+;7,5;55;Tem;Não tem;Não tem;Não tem
Ultraviolet;2017;18+;7;55;Tem;Tem;Não tem;Não tem
Ultraman;2019;16+;6,9;54;Tem;Não tem;Não tem;Não tem
No Good Nick;2019;7+;6;54;Tem;Não tem;Não tem;Não tem
Daughter From Another Mother;2021;18+;7,4;54;Tem;Não tem;Não tem;Não tem
Tiny House Nation;2014;7+;7,1;54;Tem;Não tem;Não tem;Não tem
High-Rise Invasion;2021;18+;6,7;54;Tem;Não tem;Não tem;Não tem
Mystic Pop-up Bar;2020;16+;8;54;Tem;Não tem;Não tem;Não tem
Glow Up: Britain's Next Make-Up Star;2019;16+;6,7;54;Tem;Não tem;Não tem;Não tem
Falsa Identidad;2018;16+;7,1;54;Tem;Não tem;Não tem;Não tem
Alien Worlds;2020;7+;6,5;54;Tem;Não tem;Não tem;Não tem
Barbie: Life in the Dreamhouse;2012;0;7,4;54;Tem;Não tem;Não tem;Não tem
Freud;2020;18+;6,5;54;Tem;Não tem;Não tem;Não tem
God Eater;2015;16+;7;54;Tem;Não tem;Não tem;Não tem
El DragÃ³n: Return of a Warrior;2019;18+;7;54;Tem;Não tem;Não tem;Não tem
Netflix Presents: The Characters;2016;18+;5,4;54;Tem;Não tem;Não tem;Não tem
Vampires;2020;18+;5,6;54;Tem;Não tem;Não tem;Não tem
#blackAF;2020;18+;6,8;54;Tem;Não tem;Não tem;Não tem
Ever After High;2013;0;8;54;Tem;Não tem;Não tem;Não tem
Sirius the Jaeger;2018;16+;6,8;54;Tem;Não tem;Não tem;Não tem
Eternal Love;2017;7+;8,3;54;Tem;Não tem;Não tem;Não tem
Murder Mountain;2018;16+;6,9;54;Tem;Não tem;Não tem;Não tem
Dope;2017;16+;7,3;54;Tem;Não tem;Não tem;Não tem
Troy: Fall of a City;2018;18+;3,8;54;Tem;Não tem;Não tem;Não tem
Surviving Escobar - Alias JJ;2017;18+;7,9;54;Tem;Não tem;Não tem;Não tem
Skylines;2019;16+;7,6;54;Tem;Não tem;Não tem;Não tem
High Score Girl;2018;7+;8;54;Tem;Não tem;Não tem;Não tem
Unit 42;2017;7+;7;54;Tem;Não tem;Não tem;Não tem
The Velvet Collection;2017;16+;7,2;54;Tem;Não tem;Não tem;Não tem
One on One;2001;16+;7,2;54;Tem;Não tem;Tem;Não tem
Monty Python: Almost the Truth (The Lawyer's Cut);2009;7+;8,1;54;Tem;Não tem;Não tem;Não tem
Voice;2017;16+;7,7;54;Tem;Não tem;Não tem;Não tem
La RÃ©volution;2020;16+;6,5;54;Tem;Não tem;Não tem;Não tem
Queer Eye: We're in Japan!;2019;16+;8,2;54;Tem;Não tem;Não tem;Não tem
Danger Mouse;1981;7+;7,4;54;Tem;Não tem;Não tem;Não tem
Man Like Mobeen;2017;18+;8;53;Tem;Não tem;Não tem;Não tem
X-Men;2011;16+;6,9;53;Tem;Não tem;Não tem;Tem
7SEEDS;2019;18+;6,4;53;Tem;Não tem;Não tem;Não tem
Ultimate Beastmaster;2017;0;7,3;53;Tem;Não tem;Não tem;Não tem
Trigger Warning with Killer Mike;2019;16+;7;53;Tem;Não tem;Não tem;Não tem
The Queen of Flow;2018;18+;7,8;53;Tem;Não tem;Não tem;Não tem
The Upshaws;2021;16+;6,9;53;Tem;Não tem;Não tem;Não tem
Huge in France;2019;16+;6,8;53;Tem;Não tem;Não tem;Não tem
Good Morning Call;2016;0;7,5;53;Tem;Não tem;Não tem;Não tem
Reality Z;2020;18+;5,4;53;Tem;Não tem;Não tem;Não tem
Bella and the Bulldogs;2015;0;5,4;53;Tem;Não tem;Não tem;Não tem
Johnny Test;2005;0;5,1;53;Tem;Não tem;Não tem;Não tem
The Lost Pirate Kingdom;2021;18+;6,6;53;Tem;Não tem;Não tem;Não tem
The I-Land;2019;18+;4,6;53;Tem;Não tem;Não tem;Não tem
Free Rein;2017;0;7,3;53;Tem;Não tem;Não tem;Não tem
Ashes of Love;2018;7+;8,4;53;Tem;Não tem;Não tem;Não tem
Masha and the Bear;2009;0;7,5;53;Tem;Não tem;Não tem;Não tem
All Hail King Julien;2014;7+;7,1;53;Tem;Não tem;Não tem;Não tem
The Day I Met El Chapo: The Kate del Castillo Story;2017;18+;6,9;53;Tem;Não tem;Não tem;Não tem
Argos ComunicaciÃ³n;2017;18+;7,2;53;Tem;Não tem;Não tem;Não tem
Busted!;2018;16+;7,7;53;Tem;Não tem;Não tem;Não tem
Street Food;2019;0;8,2;53;Tem;Não tem;Não tem;Não tem
A Little Thing Called First Love;2019;0;8;53;Tem;Não tem;Tem;Não tem
Song Exploder;2020;18+;7,4;53;Tem;Não tem;Não tem;Não tem
Spycraft;2021;18+;6,7;53;Tem;Não tem;Não tem;Não tem
Thieves of the Wood;2020;18+;6,8;53;Tem;Não tem;Não tem;Não tem
Headspace Guide to Meditation;2021;7+;8,5;53;Tem;Não tem;Não tem;Não tem
Record of Grancrest War;2018;18+;7,2;53;Tem;Não tem;Não tem;Não tem
Abyss;2019;16+;7,1;53;Tem;Não tem;Não tem;Não tem
Silver Spoon;2014;16+;7,7;53;Tem;Não tem;Não tem;Não tem
Omniscient;2020;18+;6,4;53;Tem;Não tem;Não tem;Não tem
Creeped Out;2017;7+;6,6;53;Tem;Não tem;Não tem;Não tem
The Worst Witch;2017;7+;7,3;53;Tem;Não tem;Não tem;Não tem
Diablero;2018;16+;6,7;53;Tem;Não tem;Não tem;Não tem
The Daily Life of the Immortal King;2020;16+;7,4;53;Tem;Não tem;Não tem;Não tem
My First First Love;2019;7+;7,5;53;Tem;Não tem;Não tem;Não tem
The Mr. Peabody & Sherman Show;2015;7+;5,8;53;Tem;Não tem;Não tem;Não tem
The Business of Drugs;2020;18+;7,2;53;Tem;Não tem;Não tem;Não tem
Fresh, Fried & Crispy;2021;7+;6,2;53;Tem;Não tem;Não tem;Não tem
Jiva!;2021;18+;5,7;53;Tem;Não tem;Não tem;Não tem
Killer Ratings;2019;18+;8;53;Tem;Não tem;Não tem;Não tem
Switched;2018;16+;7,1;53;Tem;Não tem;Não tem;Não tem
Criminal: France;2019;7+;7,2;52;Tem;Não tem;Não tem;Não tem
Bloodride;2020;18+;6,4;52;Tem;Não tem;Não tem;Não tem
Glitch Techs;2020;0;7,9;52;Tem;Não tem;Não tem;Não tem
Country Comfort;2021;7+;6,9;52;Tem;Não tem;Não tem;Não tem
The Disappearance of Madeleine McCann;2019;16+;6,6;52;Tem;Não tem;Não tem;Não tem
Nobody's Looking;2019;18+;7,8;52;Tem;Não tem;Não tem;Não tem
Inside the World's Toughest Prisons;2016;18+;7,1;52;Tem;Não tem;Não tem;Não tem
Family Reunion;2019;7+;6,5;52;Tem;Não tem;Não tem;Não tem
Borderliner;2017;18+;6,8;52;Tem;Não tem;Não tem;Não tem
Kissing Game;2020;18+;6,4;52;Tem;Não tem;Não tem;Não tem
Neo Yokio;2017;18+;5,9;52;Tem;Não tem;Não tem;Não tem
Crazy Delicious;2020;7+;6,7;52;Tem;Não tem;Não tem;Não tem
Zumbo's Just Desserts;2016;7+;6,9;52;Tem;Não tem;Não tem;Não tem
Bad Guys;2014;18+;7,9;52;Tem;Não tem;Não tem;Não tem
Fireman Sam;1989;0;6,2;52;Tem;Não tem;Tem;Não tem
We Are the Wave;2019;18+;6,1;52;Tem;Não tem;Não tem;Não tem
Okupas;2000;18+;9,1;52;Tem;Não tem;Não tem;Não tem
Sword Art Online Alternative: Gun Gale Online;2018;16+;6,9;52;Tem;Tem;Não tem;Não tem
The Haunted Hathaways;2013;0;5,3;52;Tem;Não tem;Não tem;Não tem
TIGER & BUNNY;2011;16+;7,4;52;Tem;Tem;Não tem;Não tem
The Queen and the Conqueror;2020;16+;6,7;52;Tem;Não tem;Não tem;Não tem
Hoops;2020;18+;6;52;Tem;Não tem;Não tem;Não tem
Crime Diaries: The Candidate;2019;18+;7,6;52;Tem;Não tem;Não tem;Não tem
Zac & Mia;2017;16+;7,9;52;Tem;Tem;Não tem;Não tem
Men on a Mission;2015;16+;8,3;52;Tem;Não tem;Não tem;Não tem
Girls Hostel;2018;7+;8,1;52;Tem;Não tem;Não tem;Não tem
Power Rangers Dino Fury;2021;7+;6,8;52;Tem;Não tem;Não tem;Não tem
Broken;2019;16+;6,9;52;Tem;Não tem;Não tem;Não tem
Barney & Friends;1992;0;3,9;52;Tem;Não tem;Tem;Não tem
We the People;2021;7+;4,5;52;Tem;Não tem;Não tem;Não tem
The Big Show Show;2020;0;6,4;52;Tem;Não tem;Não tem;Não tem
Ares;2020;18+;5,6;52;Tem;Não tem;Não tem;Não tem
The Duchess;2020;18+;6,8;52;Tem;Não tem;Tem;Não tem
Green Frontier;2019;18+;7,3;52;Tem;Não tem;Não tem;Não tem
Nagi no Asukara;2013;7+;7,4;52;Tem;Não tem;Não tem;Não tem
Luna Nera;2020;18+;5,6;52;Tem;Não tem;Não tem;Não tem
Secrets of Great British Castles;2015;7+;7,8;52;Tem;Não tem;Não tem;Não tem
Ridley Jones;2021;0;5,6;52;Tem;Não tem;Não tem;Não tem
Next in Fashion;2020;16+;7,3;52;Tem;Não tem;Não tem;Não tem
Children of the Whales;2017;16+;7,1;52;Tem;Não tem;Não tem;Não tem
Live;2018;16+;8,4;52;Tem;Não tem;Não tem;Não tem
Hangar 1: The UFO Files;2015;7+;7,3;52;Tem;Não tem;Tem;Não tem
Valeria;2020;18+;6,2;52;Tem;Não tem;Não tem;Não tem
Girls und Panzer;2012;16+;7,4;52;Tem;Tem;Não tem;Não tem
World's Most Wanted;2020;16+;7,2;52;Tem;Não tem;Não tem;Não tem
The Adventures of Puss in Boots;2015;7+;6,7;51;Tem;Não tem;Não tem;Não tem
MeatEater;2012;16+;7,7;51;Tem;Não tem;Não tem;Não tem
Old Money;2015;7+;7,6;51;Tem;Não tem;Não tem;Não tem
Heartbreak High;1994;7+;7,8;51;Tem;Não tem;Não tem;Não tem
Breakfast, Lunch & Dinner;2019;18+;6,8;51;Tem;Não tem;Não tem;Não tem
Trailer Park Boys: Out of the Park: Europe;2016;18+;6,7;51;Tem;Não tem;Não tem;Não tem
Put Your Head on My Shoulder;2019;7+;8;51;Tem;Não tem;Não tem;Não tem
MonzÃ³n: A Knockout Blow;2019;18+;7,9;51;Tem;Não tem;Não tem;Não tem
The Expanding Universe of Ashley Garcia;2020;0;6,8;51;Tem;Não tem;Não tem;Não tem
Two Sentence Horror Stories;2019;16+;5,5;51;Tem;Não tem;Não tem;Não tem
Shot in the Dark;2017;18+;8,3;51;Tem;Não tem;Não tem;Não tem
Criminal: Spain;2019;7+;6,9;51;Tem;Não tem;Não tem;Não tem
Half & Half;2002;7+;7,1;51;Tem;Não tem;Não tem;Não tem
The Least Expected Day: Inside the Movistar Team 2019;2020;7+;7,4;51;Tem;Não tem;Não tem;Não tem
Nicky, Ricky, Dicky & Dawn;2014;0;5,2;51;Tem;Não tem;Não tem;Não tem
The Honeymoon Stand Up Special;2018;16+;6,9;51;Tem;Não tem;Não tem;Não tem
BREAK IT ALL: The History of Rock in Latin America;2020;18+;7,6;51;Tem;Não tem;Não tem;Não tem
Rapture;2018;18+;7,2;51;Tem;Não tem;Não tem;Não tem
Chef's Table: France;2016;16+;8,3;51;Tem;Não tem;Não tem;Não tem
Wolverine;2011;16+;6,3;51;Tem;Não tem;Não tem;Não tem
La DoÃ±a;2016;16+;7,2;51;Tem;Não tem;Não tem;Não tem
Accidentally In Love;2018;7+;7,6;51;Tem;Não tem;Não tem;Não tem
Final Fantasy XIV: Dad of Light;2017;7+;7;51;Tem;Não tem;Não tem;Não tem
Shadow;2019;7+;6,6;51;Tem;Não tem;Não tem;Não tem
Sugar Rush;2018;7+;7;51;Tem;Não tem;Não tem;Não tem
Trash Truck;2020;0;8,4;51;Tem;Não tem;Não tem;Não tem
The Victims' Game;2020;18+;7,4;51;Tem;Não tem;Não tem;Não tem
Floor is Lava;2020;0;5,3;51;Tem;Não tem;Não tem;Não tem
Leila;2019;16+;4,8;51;Tem;Não tem;Não tem;Não tem
The Last Kids on Earth;2019;7+;7,4;51;Tem;Não tem;Não tem;Não tem
Behind Enemy Lines;2001;13+;6,4;50;Tem;Não tem;Não tem;Não tem
Dating Around;2019;16+;6,3;50;Tem;Não tem;Não tem;Não tem
Haunted;2018;18+;4,6;50;Tem;Não tem;Não tem;Não tem
Drug Lords;2018;18+;6,8;50;Tem;Não tem;Não tem;Não tem
Jinn;2019;16+;3,5;50;Tem;Não tem;Não tem;Não tem
The Wiggles;1998;0;5,9;50;Tem;Não tem;Não tem;Não tem
Bling Empire;2021;18+;5,8;50;Tem;Não tem;Não tem;Não tem
The InBESTigators;2019;0;8,1;50;Tem;Não tem;Não tem;Não tem
Ad Vitam;2018;7+;6,5;50;Tem;Não tem;Não tem;Não tem
Girls Incarcerated;2018;18+;7,3;50;Tem;Não tem;Não tem;Não tem
Bonus Family;2017;7+;7,6;50;Tem;Não tem;Não tem;Não tem
The Club;2019;18+;6,3;50;Tem;Não tem;Não tem;Não tem
Rabbids Invasion;2013;7+;5;50;Tem;Tem;Não tem;Não tem
Why Are You Like This?;2021;18+;6,5;50;Tem;Não tem;Não tem;Não tem
Moesha;1996;7+;5,8;50;Tem;Tem;Não tem;Não tem
Ben and Holly's Little Kingdom;2009;0;7,4;50;Tem;Não tem;Não tem;Não tem
The AlcÃ sser Murders;2019;18+;7,1;50;Tem;Não tem;Não tem;Não tem
Scare Tactics;2003;16+;6,7;50;Tem;Não tem;Não tem;Não tem
(Un)Well;2020;18+;6,4;50;Tem;Não tem;Não tem;Não tem
The Houseboat;2021;18+;7,3;50;Tem;Não tem;Não tem;Não tem
The Stranded;2019;18+;6,3;50;Tem;Não tem;Não tem;Não tem
Chelsea;2016;18+;6;50;Tem;Não tem;Não tem;Não tem
Transformers: Rescue Bots;2012;7+;6,5;50;Tem;Não tem;Tem;Não tem
Stay Here;2018;7+;7,5;50;Tem;Não tem;Não tem;Não tem
Murder Maps;2015;16+;7,5;50;Tem;Não tem;Não tem;Não tem
Filinta: An Ottoman Policeman;2014;16+;6,8;50;Tem;Não tem;Não tem;Não tem
White Rabbit Project;2016;7+;6,9;50;Tem;Não tem;Não tem;Não tem
Mystery Lab;2020;7+;7,7;50;Tem;Não tem;Não tem;Não tem
Supermarket Sweep;1990;0;7,5;50;Tem;Tem;Tem;Não tem
Pandemic: How to Prevent an Outbreak;2020;16+;6,4;50;Tem;Não tem;Não tem;Não tem
Autumn's Concerto;2009;16+;8;50;Tem;Não tem;Não tem;Não tem
Mobile Suit Gundam Unicorn;2010;16+;7,8;50;Tem;Não tem;Não tem;Não tem
Moving Art;2007;7+;8,7;50;Tem;Não tem;Não tem;Não tem
Bumping Mics with Jeff Ross & Dave Attell;2018;18+;7,7;50;Tem;Não tem;Não tem;Não tem
The Chase;2013;0;7,4;50;Tem;Tem;Não tem;Não tem
Hardy Bucks;2010;7+;8,3;50;Tem;Não tem;Não tem;Não tem
Hymn of Death;2018;18+;7,5;50;Tem;Não tem;Não tem;Não tem
Ellen DeGeneres: Relatable;2018;16+;6,5;49;Tem;Não tem;Não tem;Não tem
Brews Brothers;2020;18+;5,1;49;Tem;Não tem;Não tem;Não tem
Spirit: Riding Free;2017;7+;6,6;49;Tem;Não tem;Não tem;Não tem
Mismatched;2020;18+;5,5;49;Tem;Não tem;Não tem;Não tem
The Cabin with Bert Kreischer;2020;18+;7,3;49;Tem;Não tem;Não tem;Não tem
Booba;2014;0;7;49;Tem;Não tem;Tem;Não tem
Instant Hotel;2018;7+;7,3;49;Tem;Não tem;Não tem;Não tem
Dancing Queen;2018;7+;7;49;Tem;Não tem;Não tem;Não tem
QB1: Beyond the Lights;2017;16+;7,8;49;Tem;Não tem;Não tem;Não tem
Moving On;2009;7+;7,5;49;Tem;Não tem;Não tem;Não tem
Hache;2019;18+;6,5;49;Tem;Não tem;Não tem;Não tem
Jailbirds;2019;18+;7,1;49;Tem;Não tem;Não tem;Não tem
FIGHTWORLD;2018;18+;7,6;49;Tem;Não tem;Não tem;Não tem
The Hockey Girls;2019;16+;6,9;49;Tem;Não tem;Não tem;Não tem
SWORD GAI: The Animation;2018;18+;5,9;49;Tem;Não tem;Não tem;Não tem
Ask the Storybots;2016;0;8,4;49;Tem;Não tem;Não tem;Não tem
Black Ink Crew New York;2013;16+;4,6;49;Tem;Tem;Não tem;Não tem
Lunatics;2019;18+;6,6;49;Tem;Não tem;Não tem;Não tem
Angry Birds Toons;2013;0;6,3;49;Tem;Não tem;Não tem;Não tem
Puffin Rock;2015;0;8,7;49;Tem;Não tem;Não tem;Não tem
Kid Cosmic;2021;7+;8;49;Tem;Não tem;Não tem;Não tem
City of Ghosts;2021;7+;8;49;Tem;Não tem;Tem;Não tem
Unstoppable;2020;18+;7,3;49;Tem;Tem;Não tem;Não tem
Wild Catch / Chasing Monsters;2016;7+;7,4;49;Tem;Não tem;Não tem;Não tem
Molang;2015;0;8,6;49;Tem;Tem;Tem;Não tem
Beyblade Burst;2016;7+;6,7;49;Tem;Não tem;Não tem;Não tem
Signs;2018;18+;6,2;48;Tem;Não tem;Tem;Não tem
The Deep;2016;7+;7,9;48;Tem;Não tem;Não tem;Não tem
Hot Date;2017;16+;7,1;48;Tem;Não tem;Tem;Não tem
Sparta;2018;18+;6,6;48;Tem;Não tem;Não tem;Não tem
Trolls: The Beat Goes On!;2018;0;5,9;48;Tem;Não tem;Não tem;Não tem
Atelier;2015;16+;7,2;48;Tem;Não tem;Não tem;Não tem
The Healing Powers of Dude;2020;0;6,6;48;Tem;Não tem;Não tem;Não tem
Pocoyo;2005;0;7,4;48;Tem;Tem;Tem;Não tem
The Cuba Libre Story;2016;16+;7,7;48;Tem;Não tem;Não tem;Não tem
El Chema;2016;16+;6,8;48;Tem;Não tem;Não tem;Não tem
My Little Pony: Equestria Girls;2017;0;6,4;48;Tem;Não tem;Não tem;Não tem
Love (ft. Marriage and Divorce);2021;7+;5,9;48;Tem;Não tem;Não tem;Não tem
The Royal House of Windsor;2017;16+;7,3;48;Tem;Não tem;Não tem;Não tem
Dealer;2021;18+;6,2;48;Tem;Não tem;Não tem;Não tem
Can You Hear Me?;2019;16+;7,7;48;Tem;Não tem;Não tem;Não tem
1994;2019;18+;7,6;48;Tem;Não tem;Não tem;Não tem
Pac-Man and the Ghostly Adventures;2013;7+;4,9;48;Tem;Não tem;Tem;Não tem
The Parkers;1999;7+;6,9;48;Tem;Não tem;Não tem;Não tem
Cooked With Cannabis;2020;18+;6,6;48;Tem;Não tem;Não tem;Não tem
Gigantosaurus;2019;0;7,2;48;Tem;Não tem;Não tem;Tem
Re:Mind;2017;18+;5;48;Tem;Não tem;Não tem;Não tem
The Magic School Bus Rides Again;2017;0;6,2;48;Tem;Não tem;Não tem;Não tem
The Kirlian Frequency;2019;7+;7,6;48;Tem;Não tem;Não tem;Não tem
Granblue Fantasy: The Animation;2017;16+;6,4;48;Tem;Não tem;Não tem;Não tem
Fated to Love You;2008;7+;7,4;48;Tem;Tem;Não tem;Não tem
Women of the Night;2019;18+;6,2;48;Tem;Não tem;Não tem;Não tem
Dad Stop Embarrassing Me!;2021;7+;4,2;48;Tem;Não tem;Não tem;Não tem
Kuromukuro;2016;16+;7,2;48;Tem;Não tem;Não tem;Não tem
Real Rob;2015;18+;6,4;48;Tem;Não tem;Não tem;Não tem
Prank Encounters;2019;16+;5,2;48;Tem;Não tem;Não tem;Não tem
The Mafia Dolls;2009;18+;6,6;48;Tem;Não tem;Não tem;Não tem
Sintonia;2019;18+;6,8;47;Tem;Não tem;Não tem;Não tem
Examination of Conscience;2019;18+;7,9;47;Tem;Não tem;Não tem;Não tem
The Cat in the Hat Knows a Lot About That!;2010;0;6,5;47;Tem;Não tem;Tem;Não tem
AMO;2018;18+;6,5;47;Tem;Não tem;Não tem;Não tem
Super Drags;2018;18+;5,6;47;Tem;Não tem;Não tem;Não tem
Pop Team Epic;2018;18+;6,9;47;Tem;Não tem;Tem;Não tem
Haunted: Latin America;2021;16+;5,4;47;Tem;Não tem;Não tem;Não tem
Brainchild;2018;7+;8,1;47;Tem;Não tem;Não tem;Não tem
Flavorful Origins;2019;0;7,8;47;Tem;Não tem;Não tem;Não tem
Record of Youth;2020;16+;7,3;47;Tem;Não tem;Não tem;Não tem
StarBeam;2020;0;6,9;47;Tem;Não tem;Não tem;Não tem
Fate/Apocrypha;2017;18+;6,6;47;Tem;Não tem;Não tem;Não tem
Yankee;2019;18+;6;47;Tem;Não tem;Não tem;Não tem
Dream Home Makeover;2020;0;5,6;47;Tem;Não tem;Não tem;Não tem
Project McÂ²;2015;0;6;47;Tem;Não tem;Não tem;Não tem
Canine Intervention;2021;16+;6,5;47;Tem;Não tem;Não tem;Não tem
Cagaster of an Insect Cage;2020;18+;6,2;47;Tem;Não tem;Não tem;Não tem
All For Love;2020;7+;7;47;Tem;Não tem;Não tem;Não tem
Bill Nye Saves the World;2017;7+;3,6;47;Tem;Não tem;Não tem;Não tem
A.I.C.O. -Incarnation-;2018;18+;6,4;47;Tem;Não tem;Não tem;Não tem
72 Dangerous Animals: Latin America;2017;16+;6,6;47;Tem;Não tem;Não tem;Não tem
Restaurants on the Edge;2020;16+;6,8;47;Tem;Não tem;Não tem;Não tem
El Reemplazante;2012;16+;8,5;47;Tem;Não tem;Não tem;Não tem
BolÃ­var: Una lucha admirable;2019;18+;7,5;47;Tem;Não tem;Não tem;Não tem
The Epic Tales of Captain Underpants;2018;7+;6,7;47;Tem;Não tem;Não tem;Não tem
The Chosen One;2019;18+;5,8;47;Tem;Não tem;Não tem;Não tem
The Piano Forest;2018;7+;7,1;47;Tem;Não tem;Não tem;Não tem
SAINT SEIYA: Knights of the Zodiac;2019;16+;4,5;46;Tem;Não tem;Não tem;Não tem
Timmy Time;2009;0;6,9;46;Tem;Não tem;Não tem;Não tem
Her Mother's Killer;2020;16+;7,7;46;Tem;Não tem;Não tem;Não tem
Surviving Death;2021;18+;6,1;46;Tem;Não tem;Não tem;Não tem
The House Arrest of Us;2020;7+;7,5;46;Tem;Não tem;Não tem;Não tem
Witch Hunt: A Century of Murder;2015;18+;7,2;46;Tem;Não tem;Não tem;Não tem
Meet the Drug Lords: Inside the Real Narcos;2018;7+;7,5;46;Tem;Não tem;Não tem;Não tem
Gabby's Dollhouse;2021;0;7,1;46;Tem;Não tem;Não tem;Não tem
Monty Python's Personal Best;2006;16+;7,9;46;Tem;Não tem;Não tem;Não tem
World of Winx;2016;7+;6,8;46;Tem;Não tem;Não tem;Não tem
The Big Day;2021;18+;4,6;46;Tem;Não tem;Não tem;Não tem
Afflicted;2018;18+;5;46;Tem;Não tem;Tem;Não tem
Lost & Found Music Studios;2015;0;6,8;46;Tem;Não tem;Não tem;Não tem
Minecraft: Story Mode;2018;7+;5,7;46;Tem;Não tem;Não tem;Não tem
The Break with Michelle Wolf;2018;18+;5,3;46;Tem;Não tem;Não tem;Não tem
Beat Bugs;2016;0;7,6;46;Tem;Não tem;Não tem;Não tem
Transformers: Cyberverse;2018;7+;6,8;46;Tem;Não tem;Não tem;Não tem
Grizzy & the Lemmings;2016;0;7;46;Tem;Não tem;Não tem;Não tem
The Garfield Show;2009;0;5,4;46;Tem;Não tem;Não tem;Não tem
Abby Hatcher;2018;0;6,2;46;Tem;Não tem;Não tem;Não tem
Schulz Saves America: Pandemics, Predators, Protests & Presidents;2020;18+;7,5;46;Tem;Não tem;Não tem;Não tem
Dawn of the Croods;2015;7+;6;46;Tem;Não tem;Não tem;Não tem
Power Rangers Beast Morphers;2019;7+;6,8;45;Tem;Não tem;Não tem;Não tem
The Big Family Cooking Showdown;2017;7+;7;45;Tem;Não tem;Não tem;Não tem
Awake: The Million Dollar Game;2019;7+;5,9;45;Tem;Não tem;Não tem;Não tem
Cheer Squad;2016;7+;7,4;45;Tem;Não tem;Não tem;Não tem
