Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
Designated Survivor;2016;7+;7,5;77;Tem;Não tem;Não tem;Não tem
Travelers;2016;16+;8,1;77;Tem;Não tem;Não tem;Não tem
StartUp;2016;18+;7,9;77;Tem;Não tem;Não tem;Não tem
Ripper Street;2012;18+;8,1;77;Tem;Não tem;Não tem;Não tem
Episodes;2011;18+;7,8;77;Tem;Não tem;Não tem;Não tem
Crazy Ex-Girlfriend;2015;16+;7,8;76;Tem;Não tem;Não tem;Não tem
Bloodline;2015;18+;7,9;76;Tem;Não tem;Não tem;Não tem
Black Summer;2019;18+;6,5;76;Tem;Não tem;Não tem;Não tem
The Borgias;2011;18+;7,9;76;Tem;Não tem;Não tem;Não tem
Glee;2009;16+;6,7;76;Tem;Não tem;Tem;Não tem
The Stranger;2020;18+;7,3;76;Tem;Não tem;Não tem;Não tem
Virgin River;2019;16+;7,4;76;Tem;Não tem;Não tem;Não tem
Lilyhammer;2012;18+;8;76;Tem;Não tem;Não tem;Não tem
Dirty John;2018;18+;7,2;76;Tem;Não tem;Não tem;Não tem
TURN: Washington's Spies;2014;16+;8,1;76;Tem;Não tem;Não tem;Não tem
Star Trek: Enterprise;2001;7+;7,5;76;Tem;Tem;Tem;Não tem
She-Ra and the Princesses of Power;2018;0;7,9;75;Tem;Não tem;Não tem;Não tem
Merlin;2008;7+;7,9;75;Tem;Tem;Tem;Não tem
The Magicians;2015;16+;7,6;75;Tem;Não tem;Não tem;Não tem
Ginny & Georgia;2021;16+;7,5;75;Tem;Não tem;Não tem;Não tem
The Spy;2019;18+;7,9;75;Tem;Não tem;Não tem;Não tem
On My Block;2018;16+;8;75;Tem;Não tem;Não tem;Não tem
The Movies That Made Us;2019;18+;7,8;75;Tem;Não tem;Não tem;Não tem
Chef's Table;2015;0;8,5;75;Tem;Não tem;Não tem;Não tem
Biohackers;2020;18+;6,8;75;Tem;Não tem;Não tem;Não tem
The Seven Deadly Sins;2014;16+;8;75;Tem;Não tem;Não tem;Não tem
The Keepers;2017;16+;8,1;75;Tem;Não tem;Não tem;Não tem
